Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
Blue Oak Ranch Reserve,2022-03-22,10,Rock,0,,,
Blue Oak Ranch Reserve,2022-03-22,10,Trifolium hirtum,10,,,fuzzy
Blue Oak Ranch Reserve,2022-03-22,10,Trifolium fineleaf,1,,,fine-leaved 
Blue Oak Ranch Reserve,2022-03-22,10,Unknown fuzzy forb,5,,,
Blue Oak Ranch Reserve,2022-03-22,10,Vicia sativa,7,,,
Blue Oak Ranch Reserve,2022-05-26,10,Avena barbata,12,,,
Blue Oak Ranch Reserve,2022-05-26,10,Bromus diandrus,2,,,
Blue Oak Ranch Reserve,2022-05-26,10,Bromus hordeaceus,1,,,
McLaughlin Natural Reserve,2022-03-23,1,Bare ground,7,,,
McLaughlin Natural Reserve,2022-03-23,1,Bulb,1,,,cylindrical
McLaughlin Natural Reserve,2022-03-23,1,Clarkia purpurea,3,,,
McLaughlin Natural Reserve,2022-03-23,1,Erodium botrys,16,,,could be brachycarpum
McLaughlin Natural Reserve,2022-03-23,1,Grass,1,,,not in fl yet
McLaughlin Natural Reserve,2022-03-23,1,Holocarpha virgata,5,,,
McLaughlin Natural Reserve,2022-03-23,1,Litter,10,,,
McLaughlin Natural Reserve,2022-03-23,1,Lupinus bicolor,30,,,
McLaughlin Natural Reserve,2022-03-23,1,Micropus californicus,4,,,
McLaughlin Natural Reserve,2022-03-23,1,Plagiobothrys nothofulvus,1,,,
McLaughlin Natural Reserve,2022-03-23,1,Rock,0,,,
McLaughlin Natural Reserve,2022-03-23,1,Trifolium hirtum,3,,,fuzzy
McLaughlin Natural Reserve,2022-05-16,1,Avena barbata,1,,,
McLaughlin Natural Reserve,2022-05-16,1,Bromus diandrus,2,,,
McLaughlin Natural Reserve,2022-05-16,1,Elymus caput-medusae,1,,,
McLaughlin Natural Reserve,2022-05-16,1,Bromus hordeaceus,2,,,
McLaughlin Natural Reserve,2022-03-23,2,Acmispon wrangelianus,4,,,
McLaughlin Natural Reserve,2022-03-23,2,Bare ground,2,,,
McLaughlin Natural Reserve,2022-03-23,2,Bulb,2,,,
McLaughlin Natural Reserve,2022-03-23,2,Clarkia purpurea,2,,,
McLaughlin Natural Reserve,2022-03-23,2,Erodium botrys,4,,,
McLaughlin Natural Reserve,2022-03-23,2,Grass,10,,,medusa head is in this plot
McLaughlin Natural Reserve,2022-03-23,2,Holocarpha virgata,5,,,
